SUBID	BLOCK	TRIAL	REP	RUNID	RT	RESP	ACC	RSIJIT	EV_START	EV_BLOCK	EV_TRIAL	EV_RETRIEVAL	EV_PROBE	EV_RESP	EV_BLEND
999	1	1	1	1	628.8975	29	1	800	1824780.6345	 0.0026	 0.0109	 0.8282	 1.5454	 2.1763	0
999	1	2	1	1	699.6796	1	0	800	1824780.6345	 0.0026	 2.1959	 3.0134	 3.7306	 4.4311	0
999	1	3	1	1	699.9934	1	0	800	1824780.6345	 0.0026	 0.0099	 0.8273	 1.5445	 2.2453	0
999	1	4	1	1	481.1823	56	1	800	1824780.6345	 0.0026	 0.0230	 0.8404	 1.5577	 2.0401	0
999	1	5	1	1	564.9060	56	1	800	1824780.6345	 0.0026	 2.0582	 2.8756	 3.5930	 4.1646	0
999	1	6	1	1	407.7649	56	1	800	1824780.6345	 0.0026	 4.1764	 4.9938	 5.7111	 6.1198	0
999	1	7	1	1	448.3044	56	1	800	1824780.6345	 0.0026	 6.1278	 6.9455	 7.6627	 8.1123	0
999	1	8	1	1	430.6878	29	1	800	1824780.6345	 0.0026	 8.1297	 8.9471	 9.6643	10.0959	0
999	1	9	1	1	485.6382	29	1	800	1824780.6345	 0.0026	10.1149	10.9322	11.6494	12.1358	0
999	1	10	1	1	506.9811	56	1	800	1824780.6345	 0.0026	12.1498	12.9671	13.6844	14.1921	0
999	1	11	1	1	495.1038	29	1	800	1824780.6345	 0.0026	14.2015	15.0189	15.7361	16.2319	0
999	1	12	1	1	475.0919	56	1	800	1824780.6345	 0.0026	16.2532	17.0706	17.7879	18.2636	0
SUBID	BLOCK	TRIAL	REP	RUNID	RT	RESP	ACC	RSIJIT	EV_START	EV_BLOCK	EV_TRIAL	EV_RETRIEVAL	EV_PROBE	EV_RESP	EV_BLEND
999	1	1	1	1	628.9143	29	1	800	1824994.5069	 0.0040	 0.0115	 0.8288	 1.5460	 2.1767	0
999	1	2	1	1	419.5514	56	0	800	1824994.5069	 0.0040	 2.1966	 3.0139	 3.7312	 4.1519	0
999	1	3	1	1	699.9226	1	0	800	1824994.5069	 0.0040	 0.0164	 0.8332	 1.5512	 2.2519	0
999	1	4	1	1	473.3153	56	1	800	1824994.5069	 0.0040	 0.0150	 0.8325	 1.5497	 2.0242	0
999	1	5	1	1	493.3793	56	1	800	1824994.5069	 0.0040	 2.0503	 2.8676	 3.5850	 4.0851	0
999	1	6	1	1	498.9011	56	1	800	1824994.5069	 0.0040	 4.1018	 4.9191	 5.6364	 6.1366	0
999	1	7	1	1	343.3105	56	1	800	1824994.5069	 0.0040	 6.1535	 6.9709	 7.6881	 8.0325	0
999	1	8	1	1	409.8685	29	1	800	1824994.5069	 0.0040	 8.0551	 8.8724	 9.5897	10.0004	0
999	1	9	1	1	425.3392	29	1	800	1824994.5069	 0.0040	10.0234	10.8407	11.5580	11.9842	0
999	1	10	1	1	400.9851	56	1	800	1824994.5069	 0.0040	11.9917	12.8090	13.5263	13.9280	0
999	1	11	1	1	369.6047	29	1	800	1824994.5069	 0.0040	13.9434	14.7607	15.4780	15.8483	0
999	1	12	1	1	507.3554	56	1	800	1824994.5069	 0.0040	15.8616	16.6790	17.3962	17.9044	0
